playerID,yearID,salary,stint,G,G_batting,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,W,L,GS,CG,SHO,SV,IPouts,ER,HR_right,BAOpp,ERA,WP,BK,BFP,GF,Training_Validation
metcatr01,2008,392000.0,1,23,0,56,11,13,2,0,6,14,0,0,3,12,0,1,0,1,2,,,,,,,,,,,,,,,,Training
garkory01,2010,550000.0,1,15,0,33,0,3,0,0,0,3,0,0,3,4,1,0,2,0,1,,,,,,,,,,,,,,,,Training
sanchga01,2012,483000.0,3,105,0,299,30,65,16,0,7,30,1,0,25,56,2,1,0,1,13,,,,,,,,,,,,,,,,Training
hoffmtr01,2007,7000000.0,1,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,42,172,19,2,0.228,2.98,0,0,235,50,Training
mauerjo01,2006,400000.0,1,140,0,521,86,181,36,4,13,84,8,3,79,54,21,1,0,7,24,,,,,,,,,,,,,,,,Training
cordefr01,2012,4500000.0,3,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,2,118,33,9,0.821,25.57,5,0,192,18,Training
valenjo03,2007,3800000.0,1,51,0,166,18,40,11,1,3,18,2,1,15,28,4,0,1,1,5,,,,,,,,,,,,,,,,Training
turneja01,2013,2150000.0,1,20,0,35,0,3,0,1,0,0,0,0,0,16,0,0,3,0,2,3,8,20,1,0,0,354,49,11,0.262,3.74,11,0,514,0,Training
davanje02,2006,525000.0,1,87,0,221,38,64,12,4,5,35,10,4,31,42,0,0,0,4,6,,,,,,,,,,,,,,,,Training
matsuda01,2011,10333333.0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,0,0,0,112,22,4,0.224,5.3,0,0,167,1,Training
valvejo01,2010,6886052.0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,26,189,21,5,0.184,3.0,3,0,259,55,Training
seaybo01,2008,780000.0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,169,28,4,0.278,4.47,3,0,246,14,Training
ventuyo01,2014,500500.0,1,31,0,4,1,1,0,0,0,0,0,0,0,3,0,0,1,0,0,14,10,30,0,0,0,549,65,14,0.24,3.2,11,1,782,0,Training
gonzaad01,2006,327500.0,1,156,0,570,83,173,38,1,24,82,0,1,52,113,9,3,1,5,24,,,,,,,,,,,,,,,,Training
greggke01,2015,1500000.0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,32,12,3,0.289,10.13,1,0,51,2,Training
aokino01,2015,4000000.0,1,93,0,355,42,102,12,3,5,26,14,5,30,25,0,6,1,0,8,,,,,,,,,,,,,,,,Training
confomi01,2016,517246.0,1,109,0,304,38,67,21,1,12,42,2,1,36,89,2,5,0,3,6,,,,,,,,,,,,,,,,Validation
cespeyo01,2014,10500000.0,3,152,0,600,89,156,36,6,22,100,7,2,35,128,3,3,0,7,13,,,,,,,,,,,,,,,,Training
cespeyo01,2014,10500000.0,3,152,0,600,89,156,36,6,22,100,7,2,35,128,3,3,0,7,13,,,,,,,,,,,,,,,,Training
heywaja01,2015,7800000.0,1,154,0,547,79,160,33,4,13,60,23,3,56,90,4,2,0,3,13,,,,,,,,,,,,,,,,Training
seageky01,2016,8000000.0,1,158,0,597,89,166,36,3,30,99,3,1,69,108,10,8,0,2,18,,,,,,,,,,,,,,,,Validation
enrigba01,2011,418000.0,1,8,0,12,1,2,0,0,1,2,0,0,2,2,0,0,1,0,2,1,4,7,0,0,0,113,31,11,0.325,7.41,2,0,175,0,Training
kershcl01,2012,7750000.0,1,34,0,58,2,12,1,0,0,2,0,0,2,19,0,0,14,1,2,14,9,33,2,2,0,683,64,16,0.21,2.53,6,2,901,0,Training
jacksed01,2008,412700.0,1,32,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,14,11,31,0,0,0,550,90,23,0.281,4.42,7,1,792,0,Training
willijo03,2013,7000000.0,1,111,0,389,42,81,20,0,14,48,1,0,66,128,2,14,0,2,8,,,,,,,,,,,,,,,,Training
cairomi01,2006,1000000.0,1,81,0,222,28,53,12,3,0,30,13,1,13,31,0,1,5,3,4,,,,,,,,,,,,,,,,Training
catalfr01,2006,2700000.0,1,128,0,437,56,131,36,2,7,56,1,3,52,37,0,4,2,4,11,,,,,,,,,,,,,,,,Training
podsesc01,2006,2075000.0,1,139,0,524,86,137,27,6,3,45,40,19,54,96,1,2,8,4,7,,,,,,,,,,,,,,,,Training
wallabr01,2016,1000000.0,1,119,0,217,19,41,10,0,6,20,0,0,29,83,3,9,0,1,2,,,,,,,,,,,,,,,,Validation
wallabr01,2016,1000000.0,1,119,0,217,19,41,10,0,6,20,0,0,29,83,3,9,0,1,2,,,,,,,,,,,,,,,,Validation
aceveal01,2010,435650.0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,36,4,1,0.208,3.0,0,0,53,2,Training
werthja01,2014,20000000.0,1,147,0,534,85,156,37,1,16,82,9,1,83,113,3,9,0,3,9,,,,,,,,,,,,,,,,Training
germaju01,2011,415600.0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,38,8,1,0.288,5.68,0,0,60,5,Training
straida01,2013,492500.0,1,27,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,10,8,27,0,0,0,457,67,16,0.233,3.96,7,0,640,0,Training
burneaj01,2013,16500000.0,1,30,0,59,1,4,0,0,0,2,0,0,2,33,0,0,6,0,2,10,11,30,1,0,0,573,70,11,0.231,3.3,12,0,801,0,Training
villaos01,2006,462500.0,1,58,0,7,0,0,0,0,0,0,0,0,0,3,0,0,2,0,1,9,1,4,0,0,0,277,37,13,0.261,3.61,4,0,397,11,Training
castrra01,2007,850000.0,1,52,0,144,24,41,6,0,11,31,0,0,10,39,0,1,0,2,1,,,,,,,,,,,,,,,,Training
dumatph01,2008,390500.0,1,21,0,21,0,1,0,0,0,1,0,0,0,7,0,0,5,0,0,3,4,11,0,0,0,236,46,7,0.271,5.26,1,0,351,4,Training
millwke01,2008,10368892.0,1,29,0,4,1,1,1,0,0,0,0,0,1,2,0,0,1,0,0,9,10,29,3,0,0,506,95,18,0.312,5.07,2,1,767,0,Training
torrean02,2010,426000.0,1,139,0,507,84,136,43,8,16,63,26,7,56,128,2,2,5,0,10,,,,,,,,,,,,,,,,Training
smithjo05,2013,3150000.0,1,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,3,189,16,5,0.235,2.29,3,0,259,20,Training
sanchga01,2013,1750000.0,1,136,0,264,29,67,18,0,7,36,1,0,44,51,1,4,0,7,3,,,,,,,,,,,,,,,,Training
sanchga01,2013,1750000.0,1,136,0,264,29,67,18,0,7,36,1,0,44,51,1,4,0,7,3,,,,,,,,,,,,,,,,Training
buchhcl01,2014,7700000.0,1,28,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,28,2,2,0,511,101,17,0.273,5.34,8,0,737,0,Training
kellydo01,2011,423000.0,1,113,0,257,35,63,8,3,7,28,2,1,14,32,0,3,6,1,8,0,0,0,0,0,0,1,0,0,0.0,0.0,0,0,1,1,Training
kazmisc01,2009,6000000.0,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,26,0,0,0,442,80,16,0.485,7.65,13,0,647,0,Training
melanma01,2014,2595000.0,1,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,33,213,15,2,0.195,1.9,3,0,277,48,Training
parrama01,2008,392000.0,1,32,0,53,2,12,5,1,0,6,0,0,2,18,0,0,3,0,2,10,8,29,0,0,0,498,81,18,0.278,4.39,17,2,741,0,Training
booneaa01,2006,3750000.0,1,104,0,354,50,89,19,1,7,46,5,4,27,62,1,6,4,1,4,,,,,,,,,,,,,,,,Training
cashke01,2008,400000.0,1,61,0,142,11,32,7,0,3,15,0,0,18,50,1,0,0,2,6,,,,,,,,,,,,,,,,Training
rossty01,2013,500500.0,1,36,0,33,0,6,0,0,0,0,0,0,0,18,0,0,3,0,0,3,8,16,0,0,0,375,44,8,0.225,3.17,7,0,504,8,Training
meredcl01,2009,430900.0,3,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,196,29,4,0.5760000000000001,7.9399999999999995,3,0,283,25,Training
brazoyh01,2006,345000.0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0.35,5.4,1,0,23,2,Training
accarje01,2007,392200.0,1,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,30,202,16,4,0.206,2.14,0,1,275,48,Training
cuetojo01,2011,3400000.0,1,24,0,47,3,3,0,0,0,0,0,0,2,11,0,0,7,0,0,9,5,24,3,1,0,468,40,8,0.22,2.31,5,1,631,0,Training
sizemsc01,2012,485000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
lucrojo01,2015,3000000.0,1,103,0,371,51,98,20,3,7,43,1,0,36,64,0,1,1,6,18,,,,,,,,,,,,,,,,Training
lucrojo01,2015,3000000.0,1,103,0,371,51,98,20,3,7,43,1,0,36,64,0,1,1,6,18,,,,,,,,,,,,,,,,Training
mccarbr01,2013,5250000.0,1,22,0,37,0,1,0,0,0,0,0,0,3,15,0,0,2,0,0,5,11,22,2,1,0,405,68,13,0.296,4.53,1,1,577,0,Training
sotoge01,2013,2750000.0,1,54,0,163,20,40,9,0,9,22,1,2,20,60,0,0,1,0,2,,,,,,,,,,,,,,,,Training
sotoge01,2013,2750000.0,1,54,0,163,20,40,9,0,9,22,1,2,20,60,0,0,1,0,2,,,,,,,,,,,,,,,,Training
gloadro01,2009,1900000.0,1,125,0,230,33,60,10,2,6,30,0,0,23,30,4,2,1,3,3,0,0,0,0,0,0,3,0,0,0.0,0.0,0,0,4,1,Training
valenda01,2016,3150000.0,1,130,0,471,72,135,22,1,17,51,1,1,41,115,1,3,0,2,11,,,,,,,,,,,,,,,,Validation
valenda01,2016,3150000.0,1,130,0,471,72,135,22,1,17,51,1,1,41,115,1,3,0,2,11,,,,,,,,,,,,,,,,Validation
valenda01,2016,3150000.0,1,130,0,471,72,135,22,1,17,51,1,1,41,115,1,3,0,2,11,,,,,,,,,,,,,,,,Validation
floydga01,2012,7000000.0,1,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,29,0,0,0,504,80,22,0.259,4.29,8,0,724,0,Training
beltrca01,2014,15000000.0,1,109,0,403,46,94,23,0,15,49,3,1,37,80,2,4,0,5,11,,,,,,,,,,,,,,,,Training
beltrca01,2014,15000000.0,1,109,0,403,46,94,23,0,15,49,3,1,37,80,2,4,0,5,11,,,,,,,,,,,,,,,,Training
bakerje03,2010,975000.0,1,79,0,206,29,56,13,2,4,21,1,0,16,50,0,1,0,1,6,,,,,,,,,,,,,,,,Training
pennicl01,2014,3250000.0,1,68,0,177,21,45,5,3,2,10,6,1,20,36,0,3,1,0,1,,,,,,,,,,,,,,,,Training
pennicl01,2014,3250000.0,1,68,0,177,21,45,5,3,2,10,6,1,20,36,0,3,1,0,1,,,,,,,,,,,,,,,,Training
pennicl01,2014,3250000.0,1,68,0,177,21,45,5,3,2,10,6,1,20,36,0,3,1,0,1,,,,,,,,,,,,,,,,Training
springe01,2016,522400.0,1,162,0,644,116,168,29,5,29,82,9,10,88,178,2,11,0,1,12,,,,,,,,,,,,,,,,Validation
pavanca01,2011,8000000.0,1,33,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,13,33,3,1,0,666,106,23,0.294,4.3,4,2,955,0,Training
hairssc01,2008,406000.0,1,112,0,326,42,81,18,3,17,31,3,1,28,84,2,3,3,2,2,,,,,,,,,,,,,,,,Training
braybi01,2012,1417500.0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,5,2,0.222,5.19,0,0,43,2,Training
doumiry01,2012,3000000.0,1,134,0,484,56,133,34,1,18,75,0,0,29,98,5,7,0,8,17,,,,,,,,,,,,,,,,Training
turneju01,2013,504547.0,1,86,0,200,12,56,13,1,2,16,0,1,11,34,1,1,1,1,6,,,,,,,,,,,,,,,,Training
turneju01,2013,504547.0,1,86,0,200,12,56,13,1,2,16,0,1,11,34,1,1,1,1,6,,,,,,,,,,,,,,,,Training
turneju01,2013,504547.0,1,86,0,200,12,56,13,1,2,16,0,1,11,34,1,1,1,1,6,,,,,,,,,,,,,,,,Training
turneju01,2013,504547.0,1,86,0,200,12,56,13,1,2,16,0,1,11,34,1,1,1,1,6,,,,,,,,,,,,,,,,Training
turneju01,2013,504547.0,1,86,0,200,12,56,13,1,2,16,0,1,11,34,1,1,1,1,6,,,,,,,,,,,,,,,,Training
longoev01,2015,11000000.0,1,160,0,604,74,163,35,1,21,73,3,1,51,132,8,6,0,9,11,,,,,,,,,,,,,,,,Training
pujolal01,2016,25000000.0,1,152,0,593,71,159,19,0,31,119,4,0,49,75,6,2,0,6,24,,,,,,,,,,,,,,,,Validation
johnsel02,2012,486100.0,1,123,0,297,32,72,10,2,6,33,18,6,24,84,0,3,5,2,3,,,,,,,,,,,,,,,,Training
johnsjo09,2008,390000.0,1,14,0,30,1,4,2,0,0,2,0,0,1,18,0,0,3,0,0,7,1,14,1,0,0,262,35,7,0.275,3.61,4,0,365,0,Training
tejadmi01,2011,6500000.0,1,91,0,322,28,77,16,0,4,26,4,4,12,35,5,3,2,4,10,,,,,,,,,,,,,,,,Training
crawfca02,2014,20250000.0,1,105,0,343,56,103,14,3,8,46,23,6,16,55,0,6,0,4,5,,,,,,,,,,,,,,,,Training
rakeraa01,2006,327000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
betemwi01,2009,1300000.0,1,20,0,45,2,9,5,0,0,3,0,0,5,13,0,0,0,0,2,,,,,,,,,,,,,,,,Training
birdgr01,2016,525300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Validation
bigbila01,2006,900000.0,1,17,0,25,2,6,1,0,0,1,0,0,3,9,0,0,0,0,1,,,,,,,,,,,,,,,,Training
dejesda01,2012,4250000.0,1,148,0,506,76,133,28,8,9,50,7,8,61,89,1,9,2,4,9,,,,,,,,,,,,,,,,Training
carroja01,2009,2500000.0,1,93,0,315,53,87,10,2,2,26,4,2,36,63,0,3,3,1,8,,,,,,,,,,,,,,,,Training
yabutya01,2008,2500000.0,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,113,20,6,0.275,4.78,1,0,168,12,Training
simonal01,2016,2000000.0,1,15,0,14,0,1,0,0,0,1,0,0,1,7,0,1,3,0,1,2,7,11,0,0,0,176,61,15,0.349,9.36,3,0,298,1,Validation
oliveda02,2009,3665000.0,1,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,219,22,5,0.237,2.71,7,0,293,9,Training
penara02,2014,700000.0,1,81,0,147,9,36,6,0,3,9,1,0,13,38,3,0,4,1,0,,,,,,,,,,,,,,,,Training
penara02,2014,700000.0,1,81,0,147,9,36,6,0,3,9,1,0,13,38,3,0,4,1,0,,,,,,,,,,,,,,,,Training
penara02,2014,700000.0,1,81,0,147,9,36,6,0,3,9,1,0,13,38,3,0,4,1,0,,,,,,,,,,,,,,,,Training
jennija01,2007,5500000.0,1,21,0,26,1,2,0,0,0,1,0,0,3,8,0,0,1,0,0,2,9,18,0,0,0,297,71,19,0.301,6.45,5,0,445,0,Training
tanketa01,2007,380000.0,1,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,1,142,21,4,0.246,3.99,2,0,205,12,Training
penato03,2007,381000.0,1,75,0,4,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,5,4,0,0,0,2,256,31,8,0.207,3.27,3,1,344,13,Training
pestavi01,2013,501900.0,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,6,106,16,6,0.274,4.08,2,0,159,21,Training
pederjo01,2016,520000.0,1,137,0,406,64,100,26,0,25,68,6,2,63,130,4,4,1,2,5,,,,,,,,,,,,,,,,Validation
suppaje01,2006,4000000.0,1,32,0,55,4,12,1,0,0,6,0,1,5,11,0,1,9,0,0,12,7,32,0,0,0,570,87,21,0.277,4.12,8,0,837,0,Training
sogarer01,2013,495000.0,1,130,0,368,45,98,24,3,2,35,10,5,27,51,2,5,6,4,4,,,,,,,,,,,,,,,,Training
sogarer01,2013,495000.0,1,130,0,368,45,98,24,3,2,35,10,5,27,51,2,5,6,4,4,,,,,,,,,,,,,,,,Training
westbja01,2009,10000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
klubeco01,2014,514000.0,1,36,0,5,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,18,9,34,3,1,0,707,64,14,0.233,2.44,3,0,951,0,Training
paulife01,2014,1750000.0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,0,0,0,55,23,6,0.389,11.29,2,0,103,0,Training
byrneer01,2010,400000.0,1,15,0,32,1,3,2,0,0,0,1,0,6,9,0,0,0,0,1,,,,,,,,,,,,,,,,Training
ueharko01,2010,5000000.0,1,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,13,132,14,5,0.22,2.86,1,0,174,22,Training
hundlni01,2013,3000000.0,1,114,0,373,35,87,19,0,13,44,1,0,26,98,5,5,1,3,7,,,,,,,,,,,,,,,,Training
peterja01,2015,507500.0,1,152,0,528,55,126,23,5,6,52,12,10,56,120,4,3,7,3,5,,,,,,,,,,,,,,,,Training
pavanca01,2009,1500000.0,3,33,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,33,1,1,0,598,113,26,0.583,10.01,5,0,854,0,Training
hernada01,2012,499000.0,1,72,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,4,205,19,4,0.19,2.5,4,1,278,21,Training
madsory01,2009,2333333.0,1,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,10,232,28,7,0.251,3.26,1,0,320,28,Training
zimmery01,2013,14100000.0,1,147,0,568,84,156,26,2,26,79,6,0,60,133,2,2,0,3,16,,,,,,,,,,,,,,,,Training
lucrojo01,2016,4100000.0,3,142,0,490,67,143,24,3,24,81,5,0,47,100,5,3,0,4,16,,,,,,,,,,,,,,,,Validation
lucrojo01,2016,4100000.0,3,142,0,490,67,143,24,3,24,81,5,0,47,100,5,3,0,4,16,,,,,,,,,,,,,,,,Validation
lucrojo01,2016,4100000.0,3,142,0,490,67,143,24,3,24,81,5,0,47,100,5,3,0,4,16,,,,,,,,,,,,,,,,Validation
lestejo01,2012,7625000.0,1,33,0,5,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,9,14,33,3,0,0,616,110,25,0.273,4.82,6,0,876,0,Training
hammeja01,2012,4750000.0,1,20,0,4,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,8,6,20,1,1,0,354,45,9,0.234,3.43,3,0,493,0,Training
storytr01,2016,507500.0,1,97,0,372,67,101,21,4,27,72,8,5,35,130,2,5,2,1,5,,,,,,,,,,,,,,,,Validation
rowanaa01,2010,13600000.0,1,105,0,331,42,76,12,2,11,34,5,3,16,74,3,8,1,1,11,,,,,,,,,,,,,,,,Training
familje01,2013,491750.0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,5,2,0.293,4.22,3,0,52,3,Training
wilsojo03,2006,327000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
bedarer01,2011,1000000.0,3,24,0,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5,9,24,0,0,0,388,52,14,0.501,7.48,5,0,541,0,Training
cordefr01,2011,12125000.0,1,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,37,209,19,6,0.198,2.45,4,1,274,63,Training
jimenlu02,2013,490000.0,1,34,0,104,15,27,6,0,0,5,0,2,2,28,0,3,0,1,2,,,,,,,,,,,,,,,,Training
jimenlu02,2013,490000.0,1,34,0,104,15,27,6,0,0,5,0,2,2,28,0,3,0,1,2,,,,,,,,,,,,,,,,Training
jimenlu02,2013,490000.0,1,34,0,104,15,27,6,0,0,5,0,2,2,28,0,3,0,1,2,,,,,,,,,,,,,,,,Training
hirshja01,2008,396000.0,1,4,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,26,8,3,0.357,8.31,0,0,46,1,Training
stroppe01,2013,502500.0,3,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,1,172,29,5,0.434,10.08,8,1,254,22,Training
stroppe01,2013,502500.0,3,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,1,172,29,5,0.434,10.08,8,1,254,22,Training
choihe01,2006,725000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
tobinma01,2011,414000.0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,1,0.278,6.75,0,0,24,1,Training
suzukku01,2008,395000.0,1,148,0,530,54,148,25,1,7,42,2,3,44,69,2,11,2,1,20,,,,,,,,,,,,,,,,Training
myerswi01,2014,504200.0,1,87,0,325,37,72,14,0,6,35,6,1,34,90,3,0,0,2,10,,,,,,,,,,,,,,,,Training
myerswi01,2014,504200.0,1,87,0,325,37,72,14,0,6,35,6,1,34,90,3,0,0,2,10,,,,,,,,,,,,,,,,Training
